Auction Type,Problem Type,Ite,Cte,DualFnValue,PrimalValue,DualFnValueAvg,PrimalFnValueAvg
First price,Indicator,7800,0.0001,2530.9569983540923,2530.6529994910507,2530.762209250801,2530.651082843862
First price,Indicator,7900,0.0001,2530.979742659548,2530.652866882846,2530.7615887557267,2530.651137650838
First price,Indicator,8000,0.0001,2530.95351563072,2530.650210047889,2530.761253935624,2530.6512481952172
First price,Indicator,8100,0.0001,2531.0038211024344,2530.65070359783,2530.760966174187,2530.65129652316
First price,Indicator,8200,0.0001,2530.909577460012,2530.6508191314265,2530.760405349559,2530.6513437023964
First price,Indicator,8300,0.0001,2530.9588469612836,2530.6568603887335,2530.7599766481044,2530.6514398227723
First price,Indicator,8400,0.0001,2531.065332691275,2530.650584379039,2530.7596515379737,2530.651520750194
First price,Indicator,8500,0.0001,2530.9408317394755,2530.655962050979,2530.7593374343405,2530.6515681957185
First price,Indicator,8600,0.0001,2530.9626738236802,2530.6578908616298,2530.758930559631,2530.651641858612
First price,Indicator,8700,0.0001,2530.929225560968,2530.655778267852,2530.7582082445906,2530.651710098232
First price,Indicator,8800,0.0001,2531.0413566067264,2530.652407719446,2530.757907036182,2530.651761213036
First price,Indicator,8900,0.0001,2530.92705529471,2530.657185171897,2530.757403428835,2530.6518644497937
First price,Indicator,9000,0.0001,2531.0419273394346,2530.657474355333,2530.7571099835413,2530.6519580570734
First price,Indicator,9100,0.0001,2530.8878679018403,2530.651872608385,2530.7567388496796,2530.6520242210604
First price,Indicator,9200,0.0001,2531.015141520369,2530.65841560565,2530.75617542506,2530.6520910532186
First price,Indicator,9300,0.0001,2530.980265592609,2530.655729111026,2530.7558292234417,2530.65216660147
First price,Indicator,9400,0.0001,2530.8652547451784,2530.6555511752517,2530.7556517040503,2530.6522401498155
First price,Indicator,9500,0.0001,2530.960875357892,2530.662723921958,2530.755209821821,2530.6523473066563
First price,Indicator,9600,0.0001,2530.82461893105,2530.6558456596863,2530.754783950816,2530.652479290501
First price,Indicator,9700,0.0001,2530.9422360797253,2530.6602157591865,2530.7544189059295,2530.6525915966395
First price,Indicator,9800,0.0001,2531.0167843221648,2530.659576177319,2530.753959230974,2530.6527115692215
First price,Indicator,9900,0.0001,2530.9518791584915,2530.6600230398267,2530.7535243075295,2530.652824863172
First price,Indicator,10000,0.0001,2530.9359919443923,2530.656590370929,2530.7532695122,2530.652919774075
First price,L2 Wout Ind,100,0.5,1059.996697776162,669.2909756628551,0,0
First price,L2 Wout Ind,200,0.5,839.2045201475504,676.7585632947403,0,0
First price,L2 Wout Ind,300,0.5,757.6266224378985,678.3849789428123,0,0
